"","Country","Quarter","GDP_USD_Millions"
"1","AUS","1960-Q1",25754.727793
"2","AUS","1960-Q2",26454.717811
"3","AUS","1960-Q3",26538.869747
"4","AUS","1960-Q4",26507.261114
"5","AUS","1961-Q1",26597.972356
"6","AUS","1961-Q2",26342.204922
"7","AUS","1961-Q3",26217.980381
"8","AUS","1961-Q4",26617.559551
"9","AUS","1962-Q1",27543.524487
"10","AUS","1962-Q2",28137.593657
"11","AUS","1962-Q3",28428.239353
"12","AUS","1962-Q4",28979.181875
"13","AUS","1963-Q1",29742.843019
"14","AUS","1963-Q2",29379.014306
"15","AUS","1963-Q3",30609.459357
"16","AUS","1963-Q4",31521.268487
"17","AUS","1964-Q1",31584.840317
"18","AUS","1964-Q2",32449.67304
"19","AUS","1964-Q3",32785.497156
"20","AUS","1964-Q4",33868.217439
"21","AUS","1965-Q1",34316.918241
"22","AUS","1965-Q2",35020.534696
"23","AUS","1965-Q3",35078.908861
"24","AUS","1965-Q4",35442.012782
"25","AUS","1966-Q1",35621.916405
"26","AUS","1966-Q2",36434.512732
"27","AUS","1966-Q3",37831.120257
"28","AUS","1966-Q4",38375.427898
"29","AUS","1967-Q1",39983.13177
"30","AUS","1967-Q2",40085.760481
"31","AUS","1967-Q3",41201.658273
"32","AUS","1967-Q4",42002.049504
"33","AUS","1968-Q1",42091.030668
"34","AUS","1968-Q2",44173.81352
"35","AUS","1968-Q3",45189.969579
"36","AUS","1968-Q4",47542.077155
"37","AUS","1969-Q1",47717.784861
"38","AUS","1969-Q2",49293.114109
"39","AUS","1969-Q3",50826.048201
"40","AUS","1969-Q4",52556.548863
"41","AUS","1970-Q1",54310.063274
"42","AUS","1970-Q2",56058.657192
"43","AUS","1970-Q3",56269.91908
"44","AUS","1970-Q4",58295.177337
"45","AUS","1971-Q1",59174.536385
"46","AUS","1971-Q2",60321.023696
"47","AUS","1971-Q3",62986.957703
"48","AUS","1971-Q4",63304.844789
"49","AUS","1972-Q1",63473.759945
"50","AUS","1972-Q2",65121.619623
"51","AUS","1972-Q3",65284.523561
"52","AUS","1972-Q4",66713.884851
"53","AUS","1973-Q1",69143.611719
"54","AUS","1973-Q2",70273.355171
"55","AUS","1973-Q3",72282.857332
"56","AUS","1973-Q4",75560.784869
"57","AUS","1974-Q1",77008.091016
"58","AUS","1974-Q2",77302.273304
"59","AUS","1974-Q3",80595.422735
"60","AUS","1974-Q4",83189.182251
"61","AUS","1975-Q1",85604.26016
"62","AUS","1975-Q2",89708.601399
"63","AUS","1975-Q3",90327.687804
"64","AUS","1975-Q4",90478.470314
