"","Year","Quarter","Sales($ Million)","Inventories($ Million)","Wages","GOP","Expenditure($ Million)"
"1","1985","Q1",21507.61,39548.64,0,NA,NA
"2","1985","Q2",24549.87,40640.93,0,NA,NA
"3","1985","Q3",25031.34,41955.96,0,NA,NA
"4","1985","Q4",25605.81,42872.65,0,NA,NA
"5","1986","Q1",22585.21,44403.46,0,NA,NA
"6","1986","Q2",25080.78,43992.45,0,NA,NA
"7","1986","Q3",26990.55,45051.16,0,NA,NA
"8","1986","Q4",27627.64,45642.94,0,NA,NA
"9","1987","Q1",24937.8,46897.78,0,NA,NA
"10","1987","Q2",28173.27,46718.64,0,NA,NA
"11","1987","Q3",29607.17,48531.4,0,NA,NA
"12","1987","Q4",31480.24,49872.74,0,NA,NA
"13","1988","Q1",29184.98,50819.81,0,NA,NA
"14","1988","Q2",32273.1,51202.02,0,NA,NA
"15","1988","Q3",34434.81,53128.65,0,NA,NA
"16","1988","Q4",36481.98,54095.34,0,NA,NA
"17","1989","Q1",32955.06,55528.73,0,NA,NA
"18","1989","Q2",73807.17,56137.53,0,NA,NA
"19","1989","Q3",76263.68,59147.56,0,NA,NA
"20","1989","Q4",78475.28,59721.12,0,NA,NA
"21","1990","Q1",71384.84,61038.87,0,NA,NA
"22","1990","Q2",73585.49,60550.89,0,NA,NA
"23","1990","Q3",73946.89,61049.31,0,NA,NA
"24","1990","Q4",78591.32,61154.59,0,NA,NA
"25","1991","Q1",68854.07,61271.79,0,NA,NA
"26","1991","Q2",71231.27,59614.09,0,NA,NA
"27","1991","Q3",72950.62,59508.45,0,NA,NA
"28","1991","Q4",74570.26,59289.76,0,NA,NA
"29","1992","Q1",69206.08,59623.55,0,NA,NA
"30","1992","Q2",71976.49,58439.29,0,NA,NA
"31","1992","Q3",74650.68,59790.02,0,NA,NA
"32","1992","Q4",78256.11,59829.51,0,NA,NA
"33","1993","Q1",71128.23,60850.56,0,NA,NA
"34","1993","Q2",75985.65,60626.72,0,NA,NA
"35","1993","Q3",79222.86,61429.16,0,NA,NA
"36","1993","Q4",83334.02,62087.27,0,NA,NA
"37","1994","Q1",76935.45,62702.19,0,NA,NA
"38","1994","Q2",84563.26,62455.55,0,NA,NA
"39","1994","Q3",88707.87,64678.07,0,12598.51,12598.51
"40","1994","Q4",93305.94,66133.53,0,13472.07,13472.07
"41","1995","Q1",85601.52,67802.46,0,10792.35,10792.35
"42","1995","Q2",90922.56,68411.64,0,11330.29,11330.29
"43","1995","Q3",92272.19,70574.41,0,12663.88,12663.88
"44","1995","Q4",96197.33,71095.65,0,13337.58,13337.58
"45","1996","Q1",89668.24,71611.93,0,11558.43,11558.43
"46","1996","Q2",91318.39,71185.21,0,11477.84,11477.84
"47","1996","Q3",93400.89,72860.71,0,12481.92,12481.92
"48","1996","Q4",97562.76,73292.7,0,13656.27,13656.27
"49","1997","Q1",87197.11,72962.14,0,11079.07,11079.07
"50","1997","Q2",94265.45,72628.49,0,12015.5,12015.5
"51","1997","Q3",98051.58,73661.58,0,13342.94,13342.94
"52","1997","Q4",101492.4,74330.33,0,14372.4,14372.4
"53","1998","Q1",92967.18,76099.33,0,12197.74,12197.74
"54","1998","Q2",100843.76,76538.75,0,13410.99,13410.99
"55","1998","Q3",104381.49,78791.08,0,14535.33,14535.33
"56","1998","Q4",109330,79662.18,0,15883.62,15883.62
"57","1999","Q1",208487.5,81082.56,0,13573.33,13573.33
"58","1999","Q2",217954.9,81696.03,0,14052.62,14052.62
"59","1999","Q3",231420.65,85514.9,0,17050.21,17050.21
"60","1999","Q4",247508.71,87759.8,0,18826.56,18826.56
"61","2000","Q1",232251.43,89072.04,0,18177.99,18177.99
"62","2000","Q2",247669.49,89064.47,0,19723.23,19723.23
"63","2000","Q3",245000.9,92000.53,0,21427.43,21427.43
"64","2000","Q4",263207.45,95310.37,0,20571.44,20571.44
"65","2001","Q1",292776.07,95399.37,55287.07,30466.9,30466.9
"66","2001","Q2",314860.98,95048.94,58635.71,30435.16,30435.16
"67","2001","Q3",318036.94,96431.46,58827.67,34151.26,34151.26
"68","2001","Q4",338748.14,96643.03,61254.38,38094.19,38094.19
"69","2002","Q1",313991.48,96018.75,58438.4,34375.73,34375.73
"70","2002","Q2",331809,94778.33,61630,35248.36,35248.36
"71","2002","Q3",341213.93,97102.89,62521.65,38019.15,38019.15
"72","2002","Q4",358463.06,98945.77,64468.82,41009.71,41009.71
"73","2003","Q1",331686.48,99899.79,61849.01,35928.81,35928.81
"74","2003","Q2",346204.31,98840.16,65555.25,34743.57,34743.57
"75","2003","Q3",354930.1,101405.11,66347.51,40436.06,40436.06
"76","2003","Q4",374265.55,100966.4,69175.94,43617.71,43617.71
"77","2004","Q1",348997,101991.83,66962.14,37913.92,37913.92
"78","2004","Q2",370975.91,103284.13,70244.47,40760.33,40760.33
"79","2004","Q3",382138.58,108516.26,71088.84,44880.84,44880.84
"80","2004","Q4",398340.72,109282.54,73465.67,47687.12,47687.12
"81","2005","Q1",368488.8,110607.47,71262.93,40181.79,40181.79
"82","2005","Q2",399004.09,111626.91,75179.67,45535.69,45535.69
"83","2005","Q3",410467.96,115994.86,76970.89,49808.8,49808.8
"84","2005","Q4",432726.81,118019.92,80184.39,52863.15,52863.15
"85","2006","Q1",402496.57,119117.54,77060.2,44939.8,44939.8
"86","2006","Q2",432378.25,119494.34,81157.94,50171.06,50171.06
"87","2006","Q3",442447.19,121791.41,81532.45,54298.29,54298.29
"88","2006","Q4",471002.31,123440.29,86748.14,59197.19,59197.19
"89","2007","Q1",440804.01,124728.48,84560.89,52529.79,52529.79
"90","2007","Q2",474325.95,125807.68,90259.84,57068.68,57068.68
"91","2007","Q3",484977.78,130559.46,91348.72,59442.19,59442.19
"92","2007","Q4",517040.35,132205.47,95036.05,66626.83,66626.83
"93","2008","Q1",482478.56,136046.94,91389.59,58012.9,58012.9
"94","2008","Q2",536899.8,139172.88,97948.6,68664.89,68664.89
