"","Year","Quarter","HDI(%)"
"1",1990,"Q1",0.866
"2",1990,"Q2",0.866
"3",1990,"Q3",0.866
"4",1990,"Q4",0.866
"5",1991,"Q1",0.867
"6",1991,"Q2",0.867
"7",1991,"Q3",0.867
"8",1991,"Q4",0.867
"9",1992,"Q1",0.871
"10",1992,"Q2",0.871
"11",1992,"Q3",0.871
"12",1992,"Q4",0.871
"13",1993,"Q1",0.874
"14",1993,"Q2",0.874
"15",1993,"Q3",0.874
"16",1993,"Q4",0.874
"17",1994,"Q1",0.876
"18",1994,"Q2",0.876
"19",1994,"Q3",0.876
"20",1994,"Q4",0.876
"21",1995,"Q1",0.885
"22",1995,"Q2",0.885
"23",1995,"Q3",0.885
"24",1995,"Q4",0.885
"25",1996,"Q1",0.888
"26",1996,"Q2",0.888
"27",1996,"Q3",0.888
"28",1996,"Q4",0.888
"29",1997,"Q1",0.891
"30",1997,"Q2",0.891
"31",1997,"Q3",0.891
"32",1997,"Q4",0.891
"33",1998,"Q1",0.894
"34",1998,"Q2",0.894
"35",1998,"Q3",0.894
"36",1998,"Q4",0.894
"37",1999,"Q1",0.897
"38",1999,"Q2",0.897
"39",1999,"Q3",0.897
"40",1999,"Q4",0.897
"41",2000,"Q1",0.899
"42",2000,"Q2",0.899
"43",2000,"Q3",0.899
"44",2000,"Q4",0.899
"45",2001,"Q1",0.902
"46",2001,"Q2",0.902
"47",2001,"Q3",0.902
"48",2001,"Q4",0.902
"49",2002,"Q1",0.905
"50",2002,"Q2",0.905
"51",2002,"Q3",0.905
"52",2002,"Q4",0.905
"53",2003,"Q1",0.908
"54",2003,"Q2",0.908
"55",2003,"Q3",0.908
"56",2003,"Q4",0.908
"57",2004,"Q1",0.91
"58",2004,"Q2",0.91
"59",2004,"Q3",0.91
"60",2004,"Q4",0.91
"61",2005,"Q1",0.915
"62",2005,"Q2",0.915
"63",2005,"Q3",0.915
"64",2005,"Q4",0.915
"65",2006,"Q1",0.918
"66",2006,"Q2",0.918
"67",2006,"Q3",0.918
"68",2006,"Q4",0.918
"69",2007,"Q1",0.921
"70",2007,"Q2",0.921
"71",2007,"Q3",0.921
"72",2007,"Q4",0.921
"73",2008,"Q1",0.925
"74",2008,"Q2",0.925
"75",2008,"Q3",0.925
"76",2008,"Q4",0.925
"77",2009,"Q1",0.927
"78",2009,"Q2",0.927
"79",2009,"Q3",0.927
"80",2009,"Q4",0.927
"81",2010,"Q1",0.927
"82",2010,"Q2",0.927
"83",2010,"Q3",0.927
"84",2010,"Q4",0.927
"85",2011,"Q1",0.93
"86",2011,"Q2",0.93
"87",2011,"Q3",0.93
"88",2011,"Q4",0.93
"89",2012,"Q1",0.933
"90",2012,"Q2",0.933
"91",2012,"Q3",0.933
"92",2012,"Q4",0.933
"93",2013,"Q1",0.936
"94",2013,"Q2",0.936
"95",2013,"Q3",0.936
"96",2013,"Q4",0.936
"97",2014,"Q1",0.937
"98",2014,"Q2",0.937
"99",2014,"Q3",0.937
"100",2014,"Q4",0.937
"101",2015,"Q1",0.939
"102",2015,"Q2",0.939
"103",2015,"Q3",0.939
"104",2015,"Q4",0.939
