"","Year","Quarter","3-month Monthly Average Interest Rates(%)"
"1","1969","Q2",5.9
"2","1969","Q3",5.9
"3","1969","Q4",5.65
"4","1970","Q1",6.41666666666667
"5","1970","Q2",8.8
"6","1970","Q3",6.85
"7","1970","Q4",6.36666666666667
"8","1971","Q1",7.4
"9","1971","Q2",7.91666666666667
"10","1971","Q3",6.65
"11","1971","Q4",6.06666666666667
"12","1972","Q1",5.53333333333333
"13","1972","Q2",5.61666666666667
"14","1972","Q3",4.56666666666667
"15","1972","Q4",4.61666666666667
"16","1973","Q1",4.98333333333333
"17","1973","Q2",6.2
"18","1973","Q3",7.38333333333333
"19","1973","Q4",9.36666666666667
"20","1974","Q1",9.61666666666667
"21","1974","Q2",18.9333333333333
"22","1974","Q3",13.9333333333333
"23","1974","Q4",10.15
"24","1975","Q1",8.9
"25","1975","Q2",9.16666666666667
"26","1975","Q3",8.13333333333333
"27","1975","Q4",7.9
"28","1976","Q1",8.13333333333333
"29","1976","Q2",10.04
"30","1976","Q3",9.44666666666667
"31","1976","Q4",9.34
"32","1977","Q1",9.32333333333333
"33","1977","Q2",10.9166666666667
"34","1977","Q3",10.6833333333333
"35","1977","Q4",9.92666666666667
"36","1978","Q1",9.69333333333333
"37","1978","Q2",10.6966666666667
"38","1978","Q3",9.75333333333333
"39","1978","Q4",9.23
"40","1979","Q1",8.75666666666667
"41","1979","Q2",10.4066666666667
"42","1979","Q3",9.83666666666667
"43","1979","Q4",10.0933333333333
"44","1980","Q1",10.52
"45","1980","Q2",13.6466666666667
"46","1980","Q3",12.2966666666667
"47","1980","Q4",11.6466666666667
"48","1981","Q1",13.5333333333333
"49","1981","Q2",16.1833333333333
"50","1981","Q3",15.4866666666667
"51","1981","Q4",14.95
"52","1982","Q1",17.4066666666667
"53","1982","Q2",19.47
"54","1982","Q3",16.64
"55","1982","Q4",13.82
"56","1983","Q1",13.2266666666667
"57","1983","Q2",13.4366666666667
"58","1983","Q3",12.0066666666667
"59","1983","Q4",10.1266666666667
"60","1984","Q1",11.8566666666667
"61","1984","Q2",13.49
"62","1984","Q3",11.4633333333333
"63","1984","Q4",11.59
"64","1985","Q1",14.15
"65","1985","Q2",15.69
