"","Year","Quarter","Consumer Price Index(CPI)","Gross Operating Profit($ Million)","Inventories($ Million)","Sales($ Million)","Wages($ Million)","Expenditure($ Million)","Percentage unemployed %","3-month Monthly Average Interest Rates(%)","HDI(%)","GDP(US$ Millions)","Balance_on_goods_and_services($ Million)","Exchange Rate(AU$1=USD)","Labourforce"
"1","1970","Q1",9.6,NA,NA,NA,NA,NA,1.6,6.41666666666667,NA,54310.063274,NA,1.12003333333333,NA
"2","1970","Q2",9.7,NA,NA,NA,NA,NA,1.7,8.8,NA,56058.657192,NA,1.11836666666667,NA
"3","1970","Q3",9.8,NA,NA,NA,NA,NA,1.7,6.85,NA,56269.91908,NA,1.11173333333333,NA
"4","1970","Q4",10,NA,NA,NA,NA,NA,1.6,6.36666666666667,NA,58295.177337,NA,1.1136,NA
"5","1971","Q1",10.1,NA,NA,NA,NA,NA,1.7,7.4,NA,59174.536385,NA,1.12586666666667,NA
"6","1971","Q2",10.2,NA,NA,NA,NA,NA,1.9,7.91666666666667,NA,60321.023696,NA,1.12646666666667,NA
"7","1971","Q3",10.5,NA,NA,NA,NA,NA,1.9,6.65,NA,62986.957703,-4,1.14403333333333,NA
"8","1971","Q4",10.7,NA,NA,NA,NA,NA,2.2,6.06666666666667,NA,63304.844789,-10,1.1713,NA
"9","1972","Q1",10.8,NA,NA,NA,NA,NA,2.4,5.53333333333333,NA,63473.759945,107,1.191,NA
"10","1972","Q2",10.9,NA,NA,NA,NA,NA,2.4,5.61666666666667,NA,65121.619623,286,1.191,NA
"11","1972","Q3",11.1,NA,NA,NA,NA,NA,2.9,4.56666666666667,NA,65284.523561,294,1.191,NA
"12","1972","Q4",11.2,NA,NA,NA,NA,NA,2.8,4.61666666666667,NA,66713.884851,406,1.219,NA
"13","1973","Q1",11.4,NA,NA,NA,NA,NA,2.6,4.98333333333333,NA,69143.611719,469,1.36946666666667,NA
"14","1973","Q2",11.8,NA,NA,NA,NA,NA,2.3,6.2,NA,70273.355171,390,1.4167,NA
"15","1973","Q3",12.2,NA,NA,NA,NA,NA,2.1,7.38333333333333,NA,72282.857332,162,1.4403,NA
"16","1973","Q4",12.6,NA,NA,NA,NA,NA,2.1,9.36666666666667,NA,75560.784869,166,1.4875,NA
"17","1974","Q1",13,NA,NA,NA,NA,NA,2.1,9.61666666666667,NA,77008.091016,-82,1.4875,NA
"18","1974","Q2",13.5,NA,NA,NA,NA,NA,2.1,18.9333333333333,NA,77302.273304,-285,1.4875,NA
"19","1974","Q3",14.2,NA,NA,NA,NA,NA,2.7,13.9333333333333,NA,80595.422735,-463,1.42843333333333,NA
"20","1974","Q4",14.7,NA,NA,NA,NA,NA,4,10.15,NA,83189.182251,-236,1.3179,NA
"21","1975","Q1",15.3,NA,NA,NA,NA,NA,4.8,8.9,NA,85604.26016,58,1.3529,NA
"22","1975","Q2",15.8,NA,NA,NA,NA,NA,4.8,9.16666666666667,NA,89708.601399,318,1.33666666666667,NA
"23","1975","Q3",15.9,NA,NA,NA,NA,NA,4.7,8.13333333333333,NA,90327.687804,38,1.2777,NA
"24","1975","Q4",16.8,NA,NA,NA,NA,NA,5.4,7.9,NA,90478.470314,19,1.2625,NA
"25","1976","Q1",17.3,NA,NA,NA,NA,NA,4.9,8.13333333333333,NA,95268.347882,-81,1.25603333333333,NA
"26","1976","Q2",17.7,NA,NA,NA,NA,NA,4.5,10.04,NA,96658.167923,140,1.2339,NA
"27","1976","Q3",18.1,NA,NA,NA,NA,NA,4.8,9.44666666666667,NA,98545.77014,61,1.2414,NA
"28","1976","Q4",19.2,NA,NA,NA,NA,NA,4.9,9.34,NA,101196.952927,-44,1.10826666666667,NA
"29","1977","Q1",19.6,NA,NA,NA,NA,NA,5.2,9.32333333333333,NA,102388.821874,-375,1.0956,NA
"30","1977","Q2",20.1,NA,NA,NA,NA,NA,5.6,10.9166666666667,NA,105393.91614,-248,1.10796666666667,NA
"31","1977","Q3",20.5,NA,NA,NA,NA,NA,5.8,10.6833333333333,NA,106288.729059,-358,1.11173333333333,NA
"32","1977","Q4",21,NA,NA,NA,NA,NA,5.9,9.92666666666667,NA,108306.760807,72,1.1308,NA
"33","1978","Q1",21.3,NA,NA,NA,NA,NA,6.6,9.69333333333333,NA,110747.40151,-428,1.13926666666667,6466.945
"34","1978","Q2",21.7,NA,NA,NA,NA,NA,6.247291,10.6966666666667,NA,113831.142434,-299,1.13796666666667,6439.69666666667
"35","1978","Q3",22.1,NA,NA,NA,NA,NA,6.329093,9.75333333333333,NA,117288.415209,-628,1.1546,6410.63666666667
"36","1978","Q4",22.6,NA,NA,NA,NA,NA,6.290366,9.23,NA,120644.421755,-429,1.15863333333333,6464.26
"37","1979","Q1",23,NA,NA,NA,NA,NA,6.299435,8.75666666666667,NA,126113.411322,-197,1.12663333333333,6484.85666666667
"38","1979","Q2",23.6,NA,NA,NA,NA,NA,6.303057,10.4066666666667,NA,126947.722306,11,1.10943333333333,6490.88
"39","1979","Q3",24.2,NA,NA,NA,NA,NA,6.185495,9.83666666666667,NA,130755.693652,36,1.12946666666667,6501.75333333333
"40","1979","Q4",24.9,NA,NA,NA,NA,NA,6.172864,10.0933333333333,NA,135862.285991,477,1.09903333333333,6598.65
"41","1980","Q1",25.4,NA,NA,NA,NA,NA,6.018836,10.52,NA,139219.805768,18,1.09623333333333,6634.88
"42","1980","Q2",26.2,NA,NA,NA,NA,NA,6.214065,13.6466666666667,NA,142730.351974,177,1.13823333333333,6667.37
"43","1980","Q3",26.6,NA,NA,NA,NA,NA,6.110534,12.2966666666667,NA,146825.231038,-717,1.16236666666667,6715.06
"44","1980","Q4",27.2,NA,NA,NA,NA,NA,5.975347,11.6466666666667,NA,153580.646604,-482,1.17253333333333,6754.20666666667
"45","1981","Q1",27.8,NA,NA,NA,NA,NA,5.752905,13.5333333333333,NA,158171.950534,-883,1.16523333333333,6770.79666666667
