"ID","Year","Quarter","Consumer Price Index(CPI)","Gross Operating Profit($ Million)","Inventories($ Million)","Sales($ Million)","Wages($ Million)","Expenditure($ Million)","Percentage unemployed %","3-month Average Interest Rates(%)","HDI(%)","GDP(US$ Millions)","Balance_on_goods_and_services($ Million)","Exchange Rate(AU$1=USD)","Labour force(%)","Tot_Population","ASX50(%change)"
"1","1980","Q1",25.4,12486.5326032138,39548.6400019073,22695.2850869751,54740.3951125813,6634.018710237,6.018836,10.52,0.865999975198762,139219.805768,18,1.09623333333333,61.1800666666667,14988677.0009766,1.08977496413506
"2","1980","Q2",26.2,12354.7822831325,39509.3924540255,22645.977777277,54420.9292240772,6604.28847118137,6.214065,13.6466666666667,0.865878027718153,142730.351974,177,1.13823333333333,61.2108,14976989.1338988,1.08365732984688
"3","1980","Q3",26.6,12223.5277078275,39471.9495137383,22597.9898516487,54098.94634963,6574.87653519926,6.110534,12.2966666666667,0.865756843862395,146825.231038,-717,1.16236666666667,61.3722333333333,14964938.7250717,1.07753969558922
"4","1980","Q4",27.2,12092.9778076746,39436.6989649621,22551.6260363332,53774.8404991097,6546.06666443601,5.975347,11.6466666666667,0.865636857055843,153580.646604,-482,1.17253333333333,61.4135666666667,14956304.0403935,1.07142206133155
"5","1981","Q1",27.8,11963.341513108,39404.0285935204,22507.1910506731,53449.0056822871,6518.14262103133,5.752905,13.5333333333333,0.865518500722699,158171.950534,-883,1.16523333333333,61.2306,14954863.346739,1.06530442707388
"6","1981","Q2",28.4,11834.8277545615,39374.3261852369,22464.9896140108,53121.8359089333,6491.38816712491,5.493331,16.1833333333333,0.865402208287164,163710.230043,-705,1.14566666666667,61.0984666666667,14964394.9109829,1.05918679281622
"7","1981","Q3",29,11707.6454624693,39347.9795259351,22425.3264456887,52793.7251888192,6466.08706485645,5.81321,15.4866666666667,0.865288413173441,169988.487026,-1484,1.1426,61.1241333333333,14988677,1.05306915855861
"8","1981","Q4",30.2,11582.0035672654,39325.3764014386,22388.5062650492,52465.0675317156,6442.52307636566,5.954592,14.95,0.86517754880573,172383.454732,-1448,1.1381,61.0899666666667,15054117,1.04695152430092
"9","1982","Q1",30.8,11458.1109993838,39306.904597571,22354.833791435,52136.2569473935,6420.97996379224,6.197286,17.4066666666667,0.865070048608236,173155.842552,-1604,1.07456666666667,61.0814333333333,15121698,1.04083389004323
"10","1982","Q2",31.5,11336.1766892585,39292.9519001559,22324.6137441884,51807.6874456239,6401.74148927588,6.550255,19.47,0.864966346005158,176944.356919,-1245,1.04376666666667,60.6234,15184247,1.10201023261986
"11","1982","Q3",32.6,11216.4095673236,39283.9060950169,22298.1508426519,51479.7530361776,6385.09141495628,7.091016,16.64,0.8648668744207,178295.60883,-1461,0.9698,60.4556,15239278,2.37032274320001
"12","1982","Q4",33.6,11099.0185640131,39280.1549679775,22275.749806168,51152.8477288256,6371.31350297315,8.77672,13.82,0.864772067279064,177760.877964,-698,0.957366666666667,60.9641666666667,15288891,-0.790049038143819
"13","1983","Q1",34.3,10984.212609761,39282.0863048614,22257.715354079,50827.3655333388,6360.69151546618,9.624921,13.2266666666667,0.864682358004451,177833.642899,-1055,0.931766666666667,60.6602333333333,15346242,2.57178423471977
"14","1983","Q2",35,10872.2006350015,39290.0878914921,22244.3522057276,50503.7004594881,6353.50921457508,10.20324,13.4366666666667,0.864598180021063,178890.611124,-630,0.874833333333333,60.3431666666667,15393472,6.06520846854669
"15","1983","Q3",35.6,10763.1915701684,39304.5475136933,22235.9650804562,50182.2465170446,6350.05036243954,10.31453,12.0066666666667,0.864519966753102,185699.648049,-1107,0.885333333333333,60.2809666666667,15439005,5.8238733812063
"16","1983","Q4",36.5,10657.3943456959,39325.8529572884,22232.8586976071,49863.397715779,6350.59872119926,9.685612,10.1266666666667,0.86444815162477,189891.404421,-78,0.910266666666667,60.4637333333333,15483496,2.56575601927786
"17","1984","Q1",36.3,10555.0178920179,39354.3920081012,22235.3377765229,49547.5480654623,6355.43805299395,9.35224,11.8566666666667,0.86438316806027,196118.669347,-1000,0.9319,60.5787333333333,15531541,-1.65879476986474
"18","1984","Q2",36.4,10456.2711395686,39390.5524519551,22243.7070365462,49235.0915758655,6364.85211996331,9.116517,13.49,0.864325449483803,199730.944355,-863,0.893533333333333,60.6989333333333,15579391,-4.23038726226789
"19","1984","Q3",36.9,10361.3630187819,39434.7220746739,22258.2711970193,48926.4222567595,6379.12468424703,8.791968,11.4633333333333,0.864275429319571,203208.184285,-1873,0.837266666666667,60.3905666666667,15628548,3.80510274407263
"20","1984","Q4",37.4,10270.5024600918,39487.288662081,22279.3349772846,48621.9341179152,6398.53950798481,8.61071,11.59,0.864233540991776,206349.671219,-1137,0.845366666666667,60.5321,15677282,-0.919691316597008
"21","1985","Q1",37.9,10183.8983939325,39548.64,21507.61,48322.0211691035,6423.38035331636,8.51653,14.15,0.86420021792462,211966.287149,-777,0.744633333333333,60.706,15736665,4.61267438729291
"22","1985","Q2",38.8,10101.7597507379,40640.93,24549.87,48027.0774200954,6453.93098238137,8.438321,15.69,0.864175893542306,218359.298029,-1028,0.6586,60.5065,15788312,1.56289405820928
"23","1985","Q3",39.7,10024.2954609421,41955.96,25031.34,47737.4968806618,6490.47515731955,8.144669,16.0566666666667,0.864161001269034,223015.966354,-2611,0.712733333333333,60.7364,15839702,4.69517378790816
"24","1985","Q4",40.5,9951.71445497907,42872.65,25605.81,47453.6735605736,6533.2966402706,7.843212,18.0333333333333,0.864155974529008,223201.59598,-1685,0.6887,61.2662333333333,15900566,0.787402543869649
"25","1986","Q1",41.4,9884.22566328291,44403.46,22585.21,47176.0014696017,6582.6791933742,7.891057,17.9,0.864161246746429,225040.884769,-1890,0.709533333333333,61.6827333333333,15961498,4.42645235675899
"26","1986","Q2",42.1,9822.0380162876,43992.45,25080.78,46904.8746175171,6638.90657877007,7.793152,15.0566666666667,0.864177251345498,225066.299263,-1807,0.710966666666667,62.0168333333333,16018350,1.50235357561862
"27","1986","Q3",43.2,9765.3604444272,45051.16,26990.55,46640.6870140907,6702.26255859792,8.220776,16.7666666666667,0.864204421750419,226495.136471,-2180,0.6113,61.7679333333333,16075041,1.45394592133234
"28","1986","Q4",44.4,9714.40187813576,45642.94,27627.64,46383.8326690935,6773.03089499742,8.313378,16.0833333333333,0.864243191385392,231650.896175,-941,0.651866666666667,62.0777333333333,16138769,5.74362168866372
"29","1987","Q1",45.3,9669.37124784728,46897.78,24937.8,46134.7055922963,6851.49535010829,8.250949,16.3233333333333,0.864293993674621,236090.859172,-871,0.6803,62.058,16204041,4.14112311415522
"30","1987","Q2",46,9630.4774839958,46718.64,28173.27,45893.6997934701,6680,8.166851,14.3,0.864357262042306,241692.90471,-578,0.712933333333333,62.0032666666667,16263874,1.9404003049875
"31","1987","Q3",46.8,9597.92951701535,48531.4,29607.17,45661.2092823858,6552,7.971498,12.41,0.86443342991265,248160.706781,-1328,0.709866666666667,61.7850333333333,16328866,9.41147945505743
"32","1987","Q4",47.6,9571.93627733998,49872.74,31480.24,45437.6280688143,7840,7.901124,11.9666666666667,0.864522930709856,255532.153128,-163,0.701133333333333,61.9860333333333,16394641,-12.4424461074079
"33","1988","Q1",48.4,9552.70669540375,50819.81,29184.98,45223.3501625266,6468,7.49014,10.9833333333333,0.864626197858124,259047.529336,57,0.724133333333333,62.3946,16471767,2.4026732841938
"34","1988","Q2",49.3,9540.44970164063,51202.02,32273.1,45018.7695732936,8274,7.630565,12.2566666666667,0.864743664781657,261820.02544,-706,0.785866666666667,62.5282666666667,16532164,3.8669434109655
"35","1988","Q3",50.2,9535.37422648464,53128.65,34434.81,44824.2803108862,7089,6.914628,13.3466666666667,0.864875764904656,267052.423838,-1530,0.7981,62.0424666666667,16612639,0.388362219333346
"36","1988","Q4",51.2,9537.68920036989,54095.34,36481.98,44640.2763850754,9039,6.744299,14.6133333333333,0.865022931651324,273180.035008,-1383,0.853066666666667,62.5505333333333,16687082,-1.59140184175592
"37","1989","Q1",51.7,9547.60355373037,55528.73,32955.06,44467.1518056321,7728,6.590143,16.45,0.865185598445864,278859.631015,-1910,0.836,62.7451,16764042,-0.49750334071279
"38","1989","Q2",53,9565.32621700013,56137.53,73807.17,44305.3005823272,9576,6.165458,17.7833333333333,0.865364198712475,287375.615241,-1916,0.7655,63.1310333333333,16814416,2.24497824100789
"39","1989","Q3",54.2,9591.06612061318,59147.56,76263.68,44155.1167249315,8655,6.004673,18.0466666666667,0.865559165875362,291850.386501,-3562,0.7648,63.1893333333333,16872038,4.8247325674577
"40","1989","Q4",55.2,9625.03219500361,59721.12,78475.28,44016.9942432162,9481,5.845165,18.1666666666667,0.865770933358725,293274.632944,-2134,0.785766666666667,63.5665,16936723,-1.58005531963143
"41","1990","Q1",56.2,9667.43337060539,61038.87,71384.84,43891.327146952,7730,6.224325,16.4566666666667,0.866,299283.476591,-1716,0.761466666666667,63.4668,17005636,-2.1952018963457
"42","1990","Q2",57.1,9718.47857785256,60550.89,73585.49,43778.50944591,8700,6.465126,15.07,0.866,302726.794249,-371,0.769666666666667,63.8285333333333,17065128,-0.350983247366378
"43","1990","Q3",57.5,9778.37674717913,61049.31,73946.89,43678.935149861,8528,7.208668,14.09,0.866,303437.428423,-1524,0.810933333333333,63.8264666666667,17121132,-2.65344014250989
"44","1990","Q4",59,9847.33680901926,61154.59,78591.32,43592.998268576,8832,7.856067,12.5566666666667,0.866,306887.200502,-275,0.7775,63.8622,17169768,-2.34820239411528
"45","1991","Q1",58.9,9925.56769380683,61271.79,68854.07,43521.0928118259,7218,8.719422,11.68,0.867,304932.929979,226,0.781733333333333,63.4695666666667,17237424,4.32426080185537
"46","1991","Q2",59,10013.278331976,59614.09,71231.27,43463.6127893816,7754,9.616849,10.8233333333333,0.867,306058.227239,1023,0.770233333333333,63.3954333333333,17284036,1.7907459575736
"47","1991","Q3",59.3,10110.6776539606,59508.45,72950.62,43420.952211014,7047,9.8344,10.0166666666667,0.867,309716.535405,-184,0.787266666666667,62.8124333333333,17338859,1.16278820204728
"48","1991","Q4",59.9,10217.9745901949,59289.76,74570.26,43393.5050864942,7182,10.20463,8.38333333333333,0.867,312089.489644,446,0.7761,62.8775,17378981,2.04326591039146
"49","1992","Q1",59.9,10335.3780711128,59623.55,69206.08,43381.6654255929,5844,10.40395,7.49333333333333,0.871,316851.116187,438,0.7576,63.0531333333333,17441287,-1.50193034097106
"50","1992","Q2",59.7,10463.0970271484,58439.29,71976.49,43385.8272380812,6898,10.63062,6.72,0.871,321721.4922,451,0.755666666666667,62.8103333333333,17478635,1.97972066900605
"51","1992","Q3",59.8,10601.3403887357,59790.02,74650.68,43406.38453373,6721,10.80169,5.77,0.871,326830.760047,-1342,0.723866666666667,62.8653,17523303,-3.98376461089428
"52","1992","Q4",60.1,10750.3170863087,59829.51,78256.11,43443.7313223102,8348,11.13345,5.88,0.871,335783.805784,-91,0.688566666666667,62.7247666666667,17557133,1.98944864293367
"53","1993","Q1",60.6,10910.2360503016,60850.56,71128.23,43498.2616135926,6609,10.8924,5.69333333333333,0.874,339678.221276,145,0.693366666666667,62.5847666666667,17609552,2.03100109532793
